ENTRY NAME,CODE,PUBLICATION,WEBSERVER,LINK,FOLDER1,CATEGORY1,SUBCATEGORY1,SUBSUBCATEGORY1,DESCRIPTION,GITHUB_STARS,LAST_COMMIT,LAST_COMMIT_AGO,LICENSE,CITATIONS,JOURNAL,JIF,PAGE_ICON
OpenADMET,https://github.com/OpenADMET,,,https://openadmet.org/,ADMET,Datasets,,,comprehensive open library of experimental and structural datasets,,,,,,,,material/database
BBB-score,https://github.com/gkxiao/BBB-score,https://doi.org/10.1021/acs.jmedchem.9b01220,,,ADMET,Pretrained Models,BBB,,The Blood–Brain Barrier (BBB) Score,10,2021-07-20T10:16:00Z,42 months ago,,214,Journal of Medicinal Chemistry,6.8,material/needle
D-CyPre,https://github.com/67520/D-CyPre,https://doi.org/10.1021/acs.jcim.1c00144,,,ADMET,Pretrained Models,CYP450,,Tool for Accurately Predicting the Site of Metabolism of Human Cytochrome P450 Metabolism,3,2023-04-27T11:33:59Z,21 months ago,,24,Journal of Chemical Information and Modeling,5.6,material/needle
GTransCYPs,https://github.com/zonwoo/GTransCYPs,https://doi.org/10.1186/s13321-024-00915-z,,,ADMET,Pretrained Models,CYP450,,graph transformer neural network with attention pooling for reliably predicting CYP450 inhibitors,4,2024-12-11T12:29:52Z,1 months ago,,0,Journal of Cheminformatics,7.1,material/needle
ADMET_XGBoost,https://github.com/smu-tao-group/ADMET_XGBoost,https://doi.org/10.1007/s00894-022-05373-8,,,ADMET,Pretrained Models,General,,ADMETboost: a web server for accurate ADMET prediction,32,2023-03-25T15:58:07Z,22 months ago,,42,Journal of Molecular Modeling,2.1,material/needle
admet-ai,https://github.com/swansonk14/admet_ai,https://doi.org/10.1093/bioinformatics/btae416,,,ADMET,Pretrained Models,General,,ADMET-AI: A machine learning ADMET platform for evaluation of large-scale chemical libraries,130,2024-10-04T19:09:07Z,3 months ago,,30,Bioinformatics,4.4,material/needle
ADMETlab,https://github.com/ifyoungnet/ADMETlab,https://doi.org/10.1093/nar/gkae236,,,ADMET,Pretrained Models,General,,"systematical evaluation of ADMET properties, as well as some physicochemical properties and medicinal chemistry friendliness",61,2024-06-20T16:27:51Z,7 months ago,,144,Nucleic Acids Research,16.6,material/needle
ADMETlab3.0,,https://doi.org/10.1093/nar/gkae236,,https://admetlab3.scbdd.com,ADMET,Pretrained Models,General,,"systematical evaluation of ADMET properties, as well as some physicochemical properties and medicinal chemistry friendliness",,,,,144,Nucleic Acids Research,16.6,material/needle
AutoADMET,https://github.com/alexgcsa/auto-admet,https://doi.org/10.48550/arXiv.2502.16378,,,ADMET,Pretrained Models,General,,AutoML Method for Chemical ADMET Property Prediction,,,,,,,,material/needle
ChemMORT,https://github.com/leelasd/ChemMORT,https://doi.org/10.1093/bib/bbae008,,,ADMET,Pretrained Models,General,,ChemMORT: an automatic ADMET optimization platform using deep learning and multi-objective particle swarm optimization,3,2020-10-10T13:58:57Z,52 months ago,,4,Briefings in Bioinformatics,6.8,material/needle
Computation-ADME,https://github.com/molecularinformatics/Computational-ADME,https://doi.org/10.1021/acs.jcim.3c00160,,,ADMET,Pretrained Models,General,,,82,2024-02-13T00:11:10Z,11 months ago,,27,Journal of Chemical Information and Modeling,5.6,material/needle
Datagrok Admetica,https://github.com/datagrok-ai/admetica,,,https://public.datagrok.ai/browse/admetica.admeticaapp,ADMET,Pretrained Models,General,,Datagrok pretrained ADME models,14,2024-11-01T09:23:03Z,2 months ago,,,,,material/needle
OCHEM,,,https://ochem.eu/home/show.do,,ADMET,Pretrained Models,General,,,,,,,,,,material/needle
OPERA,https://github.com/NIEHS/OPERA,,,https://ntp.niehs.nih.gov/whatwestudy/niceatm/comptox/ct-opera/opera.html,ADMET,Pretrained Models,General,,,74,2024-10-01T20:57:22Z,3 months ago,,,,,material/needle
QIP,https://github.com/standigm/qip,https://doi.org/10.1021/acs.jcim.4c00772,,,ADMET,Pretrained Models,General,,"Machine learning model that predict the ADMET (absorption, distribution, metabolism, excretion, and toxicity) properties of molecules.",3,2024-11-13T03:26:42Z,2 months ago,,1,Journal of Chemical Information and Modeling,5.6,material/needle
SwissADME,,https://doi.org/10.1038/srep42717,http://www.swissadme.ch/,,ADMET,Pretrained Models,General,,"web tool to evaluate pharmacokinetics, drug-likeness and medicinal chemistry friendliness",,,,,10395,Scientific Reports,3.8,material/needle
VEGA,,,,https://www.vegahub.eu/portfolio-item/vega-qsar/,ADMET,Pretrained Models,General,,,,,,,,,,material/needle
vNN-ADMET,,,https://vnnadmet.bhsai.org/vnnadmet/login.xhtml,,ADMET,Pretrained Models,General,,,,,,,,,,material/needle
CardioTox,https://github.com/Abdulk084/CardioTox,https://doi.org/10.1186/s13321-021-00541-z,,,ADMET,Pretrained Models,hERG,,A robust predictor for hERG channel blockade via deep learning meta ensembling approaches,18,2025-01-05T23:49:53Z,0 months ago,,35,Journal of Cheminformatics,7.1,material/needle
CLOP-hERG,https://github.com/heshida01/CLOP-hERG/blob/main/README.md,https://doi.org/10.47852/bonviewMEDIN42022049,,,ADMET,Pretrained Models,hERG,,Contrastive Learning Optimized Pretrained Model for Representation Learning in Predicting Drug-Induced hERG Channel Blockers,0,2023-12-18T07:43:06Z,13 months ago,,0,Medinformatics,,material/needle
hERGdb,,https://doi.org/10.1371/journal.pone.0199348,https://drugdesign.riken.jp/hERGdb/,,ADMET,Pretrained Models,hERG,,web-based cardiotoxicity prediction,,,,,47,PLOS ONE,2.9,material/needle
OWPCP,https://github.com/jmohammadmaleki/OWPCP.git,https://doi.org/10.48550/arXiv.2410.18118,,,ADMET,Pretrained Models,logP,,OWPCP: A Deep Learning Model to Predict Octanol-Water Partition Coefficient,0,10/2024,2 months ago,,0,,,material/needle
rescoss_logp_ml,https://github.com/cisert/rescoss_logp_ml,https://doi.org/10.1021/acsomega.2c05607,,,ADMET,Pretrained Models,logP,,"A repository dedicated to logP prediction using machine learning, offering insights into the solubility and distribution properties of compounds.",6,2023-01-04T19:23:00Z,24 months ago,,26,ACS Omega,3.7,material/needle
MetaPredictor,https://github.com/zhukeyun/Meta-Predictor,https://doi.org/10.1093/bib/bbae374,,,ADMET,Pretrained Models,Metabolites,,in silico prediction of drug metabolites based on deep language models,5,2024-12-02T15:21:19Z,1 months ago,,0,Briefings in Bioinformatics,6.8,material/needle
Deep-PK,,,,https://biosig.lab.uq.edu.au/deeppk/,ADMET,Pretrained Models,PK,,deep learning for small molecule pharmacokinetic and toxicity prediction,,,,,,,,material/needle
pkCSM,,https://doi.org/10.1021/acs.jmedchem.5b00104,,https://biosig.lab.uq.edu.au/pkcsm/,ADMET,Pretrained Models,PK,,,,,,,3207,Journal of Medicinal Chemistry,6.8,material/needle
PKSmart,https://github.com/srijitseal/PKSmart,https://doi.org/10.1101/2024.02.02.578658,,,ADMET,Pretrained Models,PK,,"This work used molecular structural fingerprints, physicochemical properties, and predicted animal PK data as features to model the human PK parameters VDss, CL, t½, fu and MRT for 1,283 unique compounds and developed a webhosted application **[PKSmart](https://pk-predictor.serve.scilifelab.se/)**, the first work that publicly releases PK models on par with industry-standard models.",2,2024-11-24T20:19:05Z,1 months ago,,7,,,material/needle
Cyto-Safe,https://github.com/LabMolUFG/cytosafe,https://doi.org/10.1021/acs.jcim.4c01811,http://insightai.labmol.com.br/,,ADMET,Pretrained Models,Toxicity,,Webserver for toxicity prediction,3,2024-11-26T17:23:04Z,1 months ago,,0,Journal of Chemical Information and Modeling,5.6,material/needle
ProTox3,,https://doi.org/10.1093/nar/gkae303,https://tox.charite.de/protox3/,,ADMET,Pretrained Models,Toxicity,,Webserver for toxicity prediction,,,,,181,Nucleic Acids Research,16.6,material/needle
SynthMol,https://github.com/ThomasSu1/SynthMol,https://doi.org/10.1021/acs.jcim.4c01320,,,ADMET,Pretrained Models,Toxicity,,Drug Safety Prediction Framework,2,2024-07-22T23:33:14Z,,,0,Journal of Chemical Information and Modeling,5.6,material/needle
Computation-ADME,https://github.com/molecularinformatics/Computational-ADME,,,,Benchmark Datasets,ADMET,,,,82,2024-02-13T00:11:10Z,11 months ago,,,,,material/needle
OpenADMET,https://github.com/OpenADMET,,,https://openadmet.org/,Benchmark Datasets,ADMET,,,comprehensive open library of experimental and structural datasets,,,,,,,,material/needle
Runs and Poses,https://doi.org/10.5281/zenodo.14794785,https://doi.org/10.1101/2025.02.03.636309,,,Benchmark Datasets,AI Co-folding,,,"2,600 high-resolution protein-ligand systems for benchmarking ",,,,,0,,,simple/adobeillustrator
GenBench3D,https://github.com/bbaillif/genbench3d,https://doi.org/10.48550/arXiv.2407.04424,,,Benchmark Datasets,De Novo Generation,3D,,Benchmarking structure-based three-dimensional molecular generative models using GenBench3D,15,2024-12-11T23:11:10Z,1 months ago,,0,,,material/new-box
GuacaMol,https://github.com/BenevolentAI/guacamol,https://doi.org/10.1021/acs.jcim.8b00839,,,Benchmark Datasets,De Novo Generation,Expert Feedback,,"Framework for benchmarking models in de novo molecular design, providing a standard suite of tests to evaluate the performance of generative models in producing molecules with desired properties.",434,2022-07-15T21:39:59Z,30 months ago,,477,Journal of Chemical Information and Modeling,5.6,material/new-box
moses,https://github.com/molecularsets/moses,https://doi.org/10.3389/fphar.2020.565644,,,Benchmark Datasets,De Novo Generation,Expert Feedback,,Molecular Sets (MOSES): A Benchmarking Platform for Molecular Generation Models,870,2023-06-22T15:28:31Z,19 months ago,,374,Frontiers in Pharmacology,4.4,material/new-box
SMINA Docking Benchmark,https://github.com/cieplinski-tobiasz/smina-docking-benchmark,https://doi.org/10.1021/acs.jcim.2c01355,,,Benchmark Datasets,De Novo Generation,Expert Feedback,,We Should at Least Be Able to Design Molecules That Dock Well,70,2022-09-19T10:58:26Z,28 months ago,,15,Journal of Chemical Information and Modeling,5.6,material/new-box
TOMG-Bench,https://github.com/phenixace/TOMG-Bench,https://doi.org/10.48550/arXiv.2412.14642,,,Benchmark Datasets,De Novo Generation,LLM Generation,,Evaluating LLMs on Text-based Open Molecule Generation,15,2024-12-22T13:32:46Z,0 months ago,,0,,,material/new-box
CBGBench,https://github.com/Edapinenut/CBGBench,https://doi.org/10.48550/arXiv.2406.10840,,,Benchmark Datasets,De Novo Generation,Target Aware De Novo Generation,,Fill in the Blank of Protein-Molecule Complex Binding Graph,270,2025-02-17T08:01:25Z,0 months ago,,0,,,material/new-box
Durian,https://github.com/19990210nd/Durian,https://doi.org/10.1021/acs.jcim.4c02232,,,Benchmark Datasets,De Novo Generation,Target Aware De Novo Generation,,Comprehensive Benchmark for Structure-Based 3D Molecular Generation,0,2024-10-13T19:06:52Z,3 months ago,,0,Journal of Chemical Information and Modeling,5.6,material/new-box
From Theory to Therapy: Reframing SBDD Model Evaluation via Practical Metrics,,https://doi.org/10.4135/9781071909850.n4,,,Benchmark Datasets,De Novo Generation,Target Aware De Novo Generation,,From Theory to Therapy: Reframing SBDD Model Evaluation via Practical Metrics,,,,,2,Practical Program Evaluation: Theory-Driven Evaluation and the Integrated Evaluation Perspective,,material/new-box
POKMOL-3D,https://github.com/haoyang9688/POKMOL3D/tree/master,https://doi.org/10.1021/acs.jcim.4c01598,,,Benchmark Datasets,De Novo Generation,Target Aware De Novo Generation,,Benchmark Set and Evaluation of Protein Pocket-Based 3D Molecular Generative Models,8,2025-01-15T02:10:00Z,0 months ago,,1,Journal of Chemical Information and Modeling,5.6,material/new-box
BigBind and BayesBind,https://github.com/molecularmodelinglab/bigbind,https://doi.org/10.1021/acs.jcim.3c01211,,,Benchmark Datasets,Docking and Scoring Function Benchmarks,,,BigBind: Learning from Nonstructural Data for Structure-Based Virtual Screening,17,2024-11-14T20:09:18Z,2 months ago,,5,Journal of Chemical Information and Modeling,5.6,simple/abbrobotstudio
CASF,,https://doi.org/10.1021/acs.jcim.8b00545,,http://www.pdbbind.org.cn/casf.php,Benchmark Datasets,Docking and Scoring Function Benchmarks,,,"CASF offers benchmark packages for the assessment of scoring functions, with versions CASF-2016, CASF-2013, and CASF-2007 available for download upon registration.",,,,,501,Journal of Chemical Information and Modeling,5.6,simple/abbrobotstudio
D-COID,,https://doi.org/10.17632/8czn4rxz68.1,,https://data.mendeley.com/datasets/8czn4rxz68/1,Benchmark Datasets,Docking and Scoring Function Benchmarks,,,Dataset of Congruent Inhibitors and Decoys,,,,,0,,,simple/abbrobotstudio
DEKOIS,,https://doi.org/10.1021/ci2001549,,http://www.pharmchem.uni-tuebingen.de/dekois/,Benchmark Datasets,Docking and Scoring Function Benchmarks,,,"Provides DEKOIS 2.0, a library of benchmark data sets for objective in silico screening.",,,,,73,Journal of Chemical Information and Modeling,5.6,simple/abbrobotstudio
Disco,,,,http://disco.csb.pitt.edu/Targets_top1.php?ligands,Benchmark Datasets,Docking and Scoring Function Benchmarks,,,A default benchmark containing 95 targets selected from the DUD-E Targets list for docking datasets generation.,,,,,,,,simple/abbrobotstudio
Lit-PCBA,,https://doi.org/10.1021/acs.jcim.0c00155,,https://drugdesign.unistra.fr/LIT-PCBA/index.html,Benchmark Datasets,Docking and Scoring Function Benchmarks,,,"A dataset for virtual screening and machine learning with 15 target sets, 7761 actives, and 382674 unique inactives selected from high-confidence PubChem Bioassay data.",,,,,144,Journal of Chemical Information and Modeling,5.6,simple/abbrobotstudio
MF-PCBA,https://github.com/davidbuterez/mf-pcba,https://doi.org/10.1021/acs.jcim.2c01569,,,Benchmark Datasets,Docking and Scoring Function Benchmarks,,,"A repository containing code for downloading, filtering, and assembling the MF-PCBA datasets for machine learning in drug discovery.",25,2023-05-17T16:09:37Z,20 months ago,,9,Journal of Chemical Information and Modeling,5.6,simple/abbrobotstudio
MUDB-DecoyMaker2.0,https://github.com/jwxia2014/MUBD-DecoyMaker2.0,https://doi.org/10.1002/minf.201900151,,,Benchmark Datasets,Docking and Scoring Function Benchmarks,,,A Python GUI application to generate maximal unbiased benchmarking sets data sets for virtual drug screening.,3,2024-11-01T12:49:19Z,2 months ago,,10,Molecular Informatics,2.8,simple/abbrobotstudio
