FOLDER1,CATEGORY1,SUBCATEGORY1,SUBSUBCATEGORY1
,Quality,,
ADMET,Pretrained Models,BBB,
ADMET,Pretrained Models,CYP450,
ADMET,Pretrained Models,CYP450,
ADMET,Pretrained Models,General,
ADMET,Pretrained Models,General,
ADMET,Pretrained Models,General,
ADMET,Pretrained Models,General,
ADMET,Pretrained Models,General,
ADMET,Pretrained Models,General,
ADMET,Pretrained Models,General,
ADMET,Pretrained Models,General,
ADMET,Pretrained Models,Metabolites,
ADMET,Pretrained Models,PK,
ADMET,Pretrained Models,Toxicity,
ADMET,Pretrained Models,Toxicity,Toxicity
ADMET,Pretrained Models,hERG,
ADMET,Pretrained Models,hERG,
ADMET,Pretrained Models,hERG,
ADMET,Pretrained Models,logP,
ADMET,Pretrained Models,logP,
Binding Affinity Prediction,Reviews,,
Bioinformatics,Sequence Family Classification,,
Chemical Space,Chemical Space Comparison,,
Chemical Space,Chemical Space Search,,
Chemical Space,Chemical Space Search,,
Chemical Space,Chemical Space Search,,
Chemical Space,Chemical Space Search,,
Chemical Space,Chemical Space Search,,
Chemical Space,Chemical library generation,,
Chemical Space,Chemical library generation,,
Chemical Space,Chemical library generation,Fragment Library Enumeration,
Chemical Space,Diversity Determination,,
Chemical Space,Reviews,,
Chemical Space,Visualisation,,
Chemical Space,Visualisation,,
Chemical Space,Visualisation,,
Chemical Space,Visualisation,,
Clustering,Clustering,,
Combinatorial Chemistry,Combinatorial Chemistry,,
Compound Library Handling,Biopolymer handling,,
Compound Library Handling,Data splitting,,
Compound Library Handling,Data splitting,Article,
Compound Library Handling,Data splitting,Blog Post,
Compound Library Handling,Database Management,,
Compound Library Handling,Library Filtering,Functional Groups,
Compound Library Handling,Library Filtering,Structural Alerts,
Compound Library Handling,Library Filtering,Structural Alerts,
Compound Library Handling,Library Filtering,Structural Alerts,
Compound Library Handling,Library Filtering,Structural Alerts,
Compound Library Handling,Library Filtering,Structural Alerts,
Compound Library Handling,Library Filtering,Structural Alerts,Aggregators
Compound Library Handling,Molecule Preparation,,
Compound Library Handling,Molecule Preparation,,
Compound Library Handling,Molecule Preparation,Protonation,
Compound Library Handling,Molecule Preparation,Reviews,
Compound Library Handling,Molecule Preparation,Standardization,
Compound Library Handling,Molecule Preparation,Standardization,
Compound Library Handling,Molecule Preparation,Standardization,
Compound Library Handling,Molecule Preparation,Standardization,
Compound Library Handling,Molecule Preparation,Standardization,
Compound Library Handling,Molecule Preparation,Standardization,
Compound Library Handling,Molecule Preparation,Standardization,
Compound Library Handling,Molecule Preparation,Tautomer Generation,
Compound Library Handling,Molecule Preparation,pKa,
Conformer Generation,Classical,,
Conformer Generation,Classical,,
Conformer Generation,Classical,,
Conformer Generation,Classical,,
Conformer Generation,Classical,,
Conformer Generation,Classical,,
Conformer Generation,Classical,,
Conformer Generation,Classical,,
Conformer Generation,Classical,,
Conformer Generation,Classical,,
Conformer Generation,Classical,,
Conformer Generation,ML+AI,,
Conformer Generation,ML+AI,,
Conformer Generation,ML+AI,,
Conformer Generation,ML+AI,,
Conformer Generation,ML+AI,,
Conformer Generation,ML+AI,,
Conformer Generation,ML+AI,,
Conformer Generation,ML+AI,,
Conformer Generation,ML+AI,,
Conformer Generation,ML+AI,,
Conformer Generation,ML+AI,,
Conformer Generation,ML+AI,,
Conformer Generation,Reviews,,
Conformer Generation,Reviews,,
Conformer Generation,Reviews,,
Crystallography,Cryo-EM,,
Crystallography,Cryo-EM,,
Crystallography,Crystallography,,
Crystallography,Crystallography,,
Crystallography,Electron density quality,,
DSTA cycle management,DSTA cycle management,,
Data Management,Comp Chem Data Management,,
Data Management,Comp Chem Data Management,,
Databases,ADMET,,
Databases,Chemical,,
Databases,Chemical,,
Databases,Chemical,,
Databases,Chemical,,
Databases,Chemical,,
Databases,Chemical,,
Databases,Chemical,,
Databases,Chemical Reactions,,
Databases,Commercial Libraries,,
Databases,Commercial Libraries,,
Databases,Commercial Libraries,,
Databases,Commercial Libraries,,
Databases,Commercial Libraries,,
Databases,Commercial Libraries,,
Databases,Covalent,,
Databases,Docking and Scoring Function Benchmarks,,
Databases,Docking and Scoring Function Benchmarks,,
Databases,Docking and Scoring Function Benchmarks,,
Databases,Docking and Scoring Function Benchmarks,,
Databases,Docking and Scoring Function Benchmarks,,
Databases,Docking and Scoring Function Benchmarks,,
Databases,Docking and Scoring Function Benchmarks,,
Databases,Docking and Scoring Function Benchmarks,,
Databases,Docking and Scoring Function Benchmarks,,
Databases,Docking and Scoring Function Benchmarks,,
Databases,Docking and Scoring Function Benchmarks,,
Databases,Drug-target affinity,,
Databases,Drugs,,
Databases,GPCRs,,
Databases,GPCRs,,
Databases,Kinases,,
Databases,Kinases,,
Databases,Kinases,,
Databases,Kinases,,
Databases,Kinases,,
Databases,Kinases,,
Databases,Kinases,,
Databases,Kinases,,
Databases,Kinases,,
Databases,Kinases,,
Databases,MD,,
Databases,ML-docking training,,
Databases,Machine Learning Benchmarks,,
Databases,Make on Demand Libraries,,
Databases,Make on Demand Libraries,,
Databases,Molecular Dynamics,,
Databases,Molecular Dynamics,,
Databases,Molecular Dynamics,,
Databases,Natural Products,,
Databases,Natural Products,,
Databases,Natural Products,,
Databases,Natural Products,,
Databases,Natural Products,,
Databases,Natural Products,,
Databases,Natural Products,,
Databases,Natural Products,,
Databases,Natural Products,,
Databases,Natural Products,,
Databases,Natural Products,,
Databases,Natural Products,,
Databases,Natural Products,,
Databases,Natural Products,,
Databases,Natural Products,,
Databases,PROTACs,,
Databases,PROTACs,,
Databases,Properties,,
Databases,Property Prediction,,
Databases,Protein Sequences,,
Databases,Protein Structures,,
Databases,Protein Structures,,
Databases,Protein Targets,,
Databases,Protein-Ligand Interaction,,
Databases,Protein-Ligand Interaction,,
Databases,Protein-Ligand Interaction,,
Databases,Protein-Ligand Interaction,,
Databases,Protein-Ligand Interaction,,
Databases,Protein-Ligand Interaction,,
Databases,Protein-Ligand Interaction,,
Databases,Protein-Ligand Interaction,,
Databases,Protein-Ligand Interaction,,
Databases,Protein-Ligand Interaction,,
Databases,Protein-Ligand Interaction,,
Databases,Protein-Ligand Interaction,,
Databases,Quantum Chemistry,,
Databases,Quantum Chemistry,,
Databases,Toxicity,,
Databases,Toxicity,,
Databases,Toxicity,,hERG
Databases,Virtual Libraries,,
Dataset Mining,Chemical,,
Dataset Mining,Chemical,,
Dataset Mining,Chemical,,
Dataset Mining,Chemical,,
Dataset Mining,Chemical,,
Dataset Mining,Chemical,Protein-ligand interaction,
Dataset Mining,Protein Structures,PDB,
De Novo Generation,Benchmarking,,
De Novo Generation,Benchmarking,Expert Feedback,
De Novo Generation,Benchmarking,Expert Feedback,
De Novo Generation,Benchmarking,Expert Feedback,
De Novo Generation,Bioisostere,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
