ENTRY NAME,CODE,PUBLICATION,WEBSERVER,LINK,FOLDER1,CATEGORY1,SUBCATEGORY1,SUBSUBCATEGORY1,DESCRIPTION,GITHUB_STARS,LAST_COMMIT,LAST_COMMIT_AGO,LICENSE,CITATIONS,PAGE_ICON
BBB-score,https://github.com/gkxiao/BBB-score,https://doi.org/10.1021/acs.jmedchem.9b01220,,,ADMET,Pretrained Models,BBB,,,8.0,07/2021,38 months ago,,190.0,material/needle
D-CyPre,https://github.com/67520/D-CyPre,https://doi.org/10.1021/acs.jcim.1c00144,,,ADMET,Pretrained Models,CYP450,,Tool for Accurately Predicting the Site of Metabolism of Human Cytochrome P450 Metabolism,3.0,04/2023,16 months ago,,19.0,material/needle
ADMET_XGBoost,https://github.com/smu-tao-group/ADMET_XGBoost,https://doi.org/10.1007/s00894-022-05373-8,,,ADMET,Pretrained Models,General,,,29.0,03/2023,17 months ago,,31.0,material/needle
admet-ai,https://github.com/swansonk14/admet_ai,https://doi.org/10.1101/2023.12.28.573531,,,ADMET,Pretrained Models,General,,,74.0,08/2024,0 months ago,,5.0,material/needle
ADMETlab,https://github.com/ifyoungnet/ADMETlab,,,,ADMET,Pretrained Models,General,,,54.0,06/2024,2 months ago,,,material/needle
ADMETlab3.0,,,,https://admetlab3.scbdd.com,ADMET,Pretrained Models,General,,,,,,,,material/needle
ChemMORT,https://github.com/leelasd/ChemMORT,https://doi.org/10.1093/bib/bbae008,,,ADMET,Pretrained Models,General,,,3.0,10/2020,47 months ago,,2.0,material/needle
Computation-ADME,https://github.com/molecularinformatics/Computational-ADME,,,,ADMET,Pretrained Models,General,,,67.0,02/2024,6 months ago,,,material/needle
QIP,https://github.com/standigm/qip,https://doi.org/10.1021/acs.jcim.4c00772,,,ADMET,Pretrained Models,General,,"Machine learning model that predict the ADMET (absorption, distribution, metabolism, excretion, and toxicity) properties of molecules.",2.0,01/2024,7 months ago,,0.0,material/needle
MetaPredictor,https://github.com/zhukeyun/Meta-Predictor,https://doi.org/10.1093/bib/bbae374,,,ADMET,Pretrained Models,Metabolites,,in silico prediction of drug metabolites based on deep language models,2.0,08/2024,0 months ago,,0.0,material/needle
PKSmart,https://github.com/srijitseal/PKSmart,,,,ADMET,Pretrained Models,PK,,"This work used molecular structural fingerprints, physicochemical properties, and predicted animal PK data as features to model the human PK parameters VDss, CL, t½, fu and MRT for 1,283 unique compounds and developed a webhosted application **[PKSmart](https://pk-predictor.serve.scilifelab.se/)**, the first work that publicly releases PK models on par with industry-standard models.",8.0,02/2024,7 months ago,,,material/needle
ProTox3,,https://doi.org/10.1093/nar/gkae303,https://tox.charite.de/protox3/,,ADMET,Pretrained Models,Toxicity,,Webserver for toxicity prediction,,,,,26.0,material/needle
CardioTox,https://github.com/Abdulk084/CardioTox,,,,ADMET,Pretrained Models,hERG,,A robust predictor for hERG channel blockade via deep learning meta ensembling approaches,18.0,05/2021,40 months ago,,,material/needle
CLOP-hERG,https://github.com/heshida01/CLOP-hERG/blob/main/README.md,,,,ADMET,Pretrained Models,hERG,,Contrastive Learning Optimized Pretrained Model for Representation Learning in Predicting Drug-Induced hERG Channel Blockers,0.0,12/2023,8 months ago,,,material/needle
hERGdb,,,https://drugdesign.riken.jp/hERGdb/,,ADMET,Pretrained Models,hERG,,web-based cardiotoxicity prediction,,,,,,material/needle
rescoss_logp_ml,https://github.com/cisert/rescoss_logp_ml,https://doi.org/10.1021/acsomega.2c05607).,,,ADMET,Pretrained Models,logP,,"A repository dedicated to logP prediction using machine learning, offering insights into the solubility and distribution properties of compounds.",6.0,01/2023,20 months ago,,0.0,material/needle
CHEESE,,,,https://cheese-docs.deepmedchem.com/,Chemical Space,Chemical Space Search,,,,,,,,,material/search-web
ChemoDOTS,https://github.com/iSCBTeam/ChemoDOTS,https://doi.org/10.1093/nar/gkae326,https://chemodots.marseille.inserm.fr/,,Chemical Space,Chemical library generation,,,"designed to build focused chemical libraries, starting from a user-specified hit fragment, using chemistry-driven approach and according to the growing strategy encountered in Fragment-Based Drug Discovery",0.0,03/2024,6 months ago,,0.0,material/database-plus
MolFinder,https://github.com/duaibeom/MolFinder,https://doi.org/10.1186/s13321-021-00501-7,,,Chemical Space,Chemical library generation,,,an evolutionary algorithm for the global optimization of molecular properties and the extensive exploration of chemical space using SMILES (standalone),3.0,03/2021,42 months ago,,35.0,material/database-plus
HamDiv,https://github.com/HXYfighter/HamDiv,https://doi.org/10.1186/s13321-024-00883-4,,,Chemical Space,Diversity Determination,,,effectively measuring molecular diversity by shortest Hamiltonian circuits,4.0,06/2024,2 months ago,,0.0,material/account-multiple-outline
Schapira et al.,,https://doi.org/10.1016/j.sbi.2024.102812,,https://www.sciencedirect.com/science/article/pii/S0959440X24000393?via%3Dihub,Chemical Space,Reviews,,,Emerging structure-based computational methods to screen the exploding accessible chemical space,,,,,1.0,material/message-draw
ChemPlot,https://github.com/mcsorkun/ChemPlot,https://doi.org/10.1002/cmtd.202200005,,,Chemical Space,Visualisation,,,python library for chemical space visualization,108.0,07/2024,1 months ago,,28.0,material/cctv
CIME,https://github.com/jku-vds-lab/cime,https://doi.org/10.1186/s13321-022-00600-z,,,Chemical Space,Visualisation,,,allows users to interactively explore a fixed subspace of chemical compounds,31.0,04/2022,29 months ago,,17.0,material/cctv
MolCompass,https://github.com/sergsb/molcomplib,https://doi.org/10.1186/s13321-024-00888-z,,,Chemical Space,Visualisation,,,multi-tool for the navigation in chemical space and visual validation of QSAR/QSPR models,1.0,08/2024,0 months ago,,0.0,material/cctv
BitBIRCH,https://github.com/mqcomplab/bitbirch,https://doi.org/10.1101/2024.08.10.607459,,,Clustering,Clustering,,,Efficient clustering of large molecular libraries,26.0,08/2024,0 months ago,,0.0,material/select-group
splito,https://github.com/datamol-io/splito,,,https://splito-docs.datamol.io/stable/tutorials/The_Basics.html,Compound Library Handling,Data splitting,,,,23.0,07/2024,2 months ago,,,material/arrow-split-horizontal
lightweight-registration,https://github.com/rinikerlab/lightweight-registration,,,,Compound Library Handling,Database Management,,,a lightweight chemical registration system,57.0,08/2024,0 months ago,,,material/database-cog
pyCheckmol,https://github.com/jeffrichardchemistry/pyCheckmol,,,,Compound Library Handling,Library Filtering,Functional Groups,,"application for detecting functional groups of a molecule, created using features from the compiled checkmol",10.0,07/2023,13 months ago,,,material/database-edit
adme-pred-py,https://github.com/ikmckenz/adme-pred-py,,,,Compound Library Handling,Library Filtering,Structural Alerts,,,31.0,03/2023,17 months ago,,,material/database-edit
ChemFH,,https://doi.org/10.1093/nar/gkae424,https://chemfh.scbdd.com/,,Compound Library Handling,Library Filtering,Structural Alerts,,predicts potential frequent hitters across various parameters.,,,,,0.0,material/database-edit
medchem,https://medchem-docs.datamol.io/stable/,,,,Compound Library Handling,Library Filtering,Structural Alerts,,Python library that proposes molecular filters and prioritization rules for a wide range of use cases relevant in drug discovery.,,,,,,material/database-edit
pySmash,https://github.com/kotori-y/pySmash,https://doi.org/10.1093/bib/bbab017,,,Compound Library Handling,Library Filtering,Structural Alerts,,Python package and software for structural alerts generation and application,17.0,06/2021,39 months ago,,10.0,material/database-edit
rd_filters,https://github.com/PatWalters/rd_filters,https://doi.org/10.1021/jm901137j,,,Compound Library Handling,Library Filtering,Structural Alerts,,"provides a simple means of applying the functional group filters from the ChEMBL database, as well as a number of property filters from the RDKit, to a set of compounds.",125.0,02/2023,18 months ago,,2959.0,material/database-edit
BADGER,,https://doi.org/10.1021/acs.jcim.4c00363,https://molmodlab-aau.com/Tools.html,,Compound Library Handling,Library Filtering,Structural Alerts,Aggregators,Detection of Small Colloidal Aggregating Molecules Using the BAD Molecule Filter,,,,,0.0,material/database-edit
Spores,,,,http://www.tcd.uni-konstanz.de/research/spores.php,Compound Library Handling,Molecule Preparation,,,"check structure, protonation (standalone).",,,,,,material/database-sync
Gypsum-DL,https://github.com/durrantlab/gypsum_dl/,https://doi.org/10.1186/s13321-019-0358-3,,https://durrantlab.pitt.edu/gypsum-dl/,Compound Library Handling,Molecule Preparation,,,"Gypsum-DL is a software that transforms 1D and 2D small-molecule representations into 3D models, considering various isomeric and conformational states.",38.0,10/2023,11 months ago,,48.0,material/database-sync
DiMorphite-DL,https://github.com/durrantlab/dimorphite_dl/,https://doi.org/10.1186/s13321-019-0336-9,,https://durrantlab.pitt.edu/dimorphite-dl/>,Compound Library Handling,Molecule Preparation,Protonation,,,15.0,06/2020,51 months ago,,41.0,material/database-sync
Sherman et al,,https://doi.org/10.1007/s10822-013-9644-8,,,Compound Library Handling,Molecule Preparation,Reviews,,,,,,,4157.0,material/database-sync
Ambitcli,,,,http://ambit.sourceforge.net/download_ambitcli.html,Compound Library Handling,Molecule Preparation,Standardization,,no 3D but Java application for standardization (standalone).,,,,,,material/database-sync
ChEMBL_Structure_Pipeline (formerly standardiser),https://github.com/chembl/ChEMBL_Structure_Pipeline,https://doi.org/10.1186/s13321-020-00456-1,,,Compound Library Handling,Molecule Preparation,Standardization,,,184.0,09/2024,0 months ago,,213.0,material/database-sync
MolVS,https://github.com/mcs07/MolVS,,,,Compound Library Handling,Molecule Preparation,Standardization,,,152.0,03/2019,66 months ago,,,material/database-sync
QSAR-Ready (KNIME),https://github.com/NIEHS/QSAR-ready,,,,Compound Library Handling,Molecule Preparation,Standardization,,Standardization workflow for QSAR-ready chemical structures pretreatment,4.0,05/2020,52 months ago,,,material/database-sync
Standardiser,https://github.com/flatkinson/standardiser,,,,Compound Library Handling,Molecule Preparation,Standardization,,"standardize molecules, it requires RDKIt (standalone).",71.0,11/2018,70 months ago,,,material/database-sync
Standardize,,,https://pubchem.ncbi.nlm.nih.gov/standardize,https://pubchem.ncbi.nlm.nih.gov/standardize,Compound Library Handling,Molecule Preparation,Standardization,,PubChem chemical structure standardization (online).,,,,,,material/database-sync
